Month,ZipCode,MeanValue
2001-03-31,78652,206004.4152
2001-03-31,78669,241671.8645
2001-03-31,78725,111232.5476
2001-03-31,78719,127028.0162
2001-04-30,78660,186919.3007
2001-04-30,78745,157052.2546
2001-04-30,78753,139605.9038
2001-04-30,78704,239800.7678
2001-04-30,78758,142435.1919
2001-04-30,78748,191541.2135
2001-04-30,78744,110154.0442
2001-04-30,78741,138892.2383
2001-04-30,78759,302239.4919
2001-04-30,78653,150856.2046
2001-04-30,78723,148872.7243
2001-04-30,78749,281533.8227
2001-04-30,78750,274086.4151
2001-04-30,78754,177630.4537
2001-04-30,78727,202196.5219
2001-04-30,78746,555396.6181
2001-04-30,78705,224805.1956
2001-04-30,78738,361618.1984
2001-04-30,78724,105822.3126
2001-04-30,78728,202893.3405
2001-04-30,78617,143612.6924
2001-04-30,78731,399526.2808
2001-04-30,78757,243993.0253
2001-04-30,78752,134781.0151
2001-04-30,78703,511353.3984
2001-04-30,78734,275102.2963
2001-04-30,78739,376582.0161
2001-04-30,78735,366514.2343
2001-04-30,78747,199970.0454
2001-04-30,78732,416630.0272
2001-04-30,78751,248542.3306
2001-04-30,78645,181646.8669
2001-04-30,78726,317236.0795
2001-04-30,78730,495960.3842
2001-04-30,78733,427252.1424
2001-04-30,78721,122948.5967
2001-04-30,78701,334896.8778
2001-04-30,78756,285101.2854
2001-04-30,78736,200436.4841
2001-04-30,78652,205699.3395
2001-04-30,78669,241071.6365
2001-04-30,78725,111820.9679
2001-04-30,78719,127975.467
2001-05-31,78660,187299.6258
2001-05-31,78745,157282.5875
2001-05-31,78753,140278.9111
2001-05-31,78704,242295.2427
2001-05-31,78758,143405.2668
2001-05-31,78748,192758.2083
2001-05-31,78744,110742.89
2001-05-31,78741,140097.3379
2001-05-31,78759,303208.2223
2001-05-31,78653,151514.1528
2001-05-31,78723,152392.3214
2001-05-31,78749,281624.0877
2001-05-31,78750,274863.808
2001-05-31,78754,178688.1185
2001-05-31,78727,202508.2732
2001-05-31,78746,557667.8315
2001-05-31,78705,225029.0262
2001-05-31,78738,361659.2823
2001-05-31,78724,106680.291
2001-05-31,78728,203312.8573
2001-05-31,78617,143643.9162
2001-05-31,78731,401138.9764
2001-05-31,78757,244015.8654
2001-05-31,78752,138527.5792
2001-05-31,78703,511320.3359
2001-05-31,78734,273705.2077
2001-05-31,78739,377161.4906
2001-05-31,78735,365806.326
2001-05-31,78747,199286.6434
2001-05-31,78732,417124.7294
2001-05-31,78751,251018.3574
2001-05-31,78645,181839.5176
2001-05-31,78726,317227.3866
2001-05-31,78730,494879.7931
2001-05-31,78733,427243.095
2001-05-31,78721,123007.1919
2001-05-31,78701,335129.6025
2001-05-31,78756,285253.1004
2001-05-31,78736,200422.2448
2001-05-31,78652,204583.5114
2001-05-31,78669,239894.9371
2001-05-31,78725,112657.1638
2001-05-31,78719,128762.5185
2001-06-30,78660,187685.2387
2001-06-30,78745,157000.217
2001-06-30,78753,140917.4426
2001-06-30,78704,241667.6794
2001-06-30,78758,144096.3416
2001-06-30,78748,193641.6364
2001-06-30,78744,111284.4684
2001-06-30,78741,140883.8762
2001-06-30,78759,303726.997
2001-06-30,78653,151992.2868
2001-06-30,78723,154408.5373
2001-06-30,78749,282177.3966
2001-06-30,78750,274519.8728
2001-06-30,78754,179500.0464
2001-06-30,78727,202622.3747
2001-06-30,78746,558753.0419
2001-06-30,78705,221777.0501
2001-06-30,78738,361793.0623
2001-06-30,78724,107541.5258
2001-06-30,78728,203798.3929
2001-06-30,78617,142748.3697
2001-06-30,78731,402117.2928
2001-06-30,78757,243932.4993
2001-06-30,78752,140934.4249
2001-06-30,78703,512888.2703
2001-06-30,78734,272479.3345
2001-06-30,78739,377783.9876
2001-06-30,78735,365350.0117
2001-06-30,78747,198871.1327
2001-06-30,78732,417830.0914
2001-06-30,78751,253746.493
